"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)"
"1","3 2 4 1","3.5 2 3.5 1","4 1 3 2"
"2","3 2 4 1","3.5 2 3.5 1","4 2 3 1"
"3","2 3 4 1","3.5 1 3.5 2","3 1 4 2"
"4","2 3 4 1","3.5 1 3.5 2","3 2 4 1"
"5","4 1 3 2","4 3 2 1","4 3 2 1"
"6","3 2 4 1","4 2 3 1","4 2 3 1"
"7","2 3 4 1","4 1 3 2","3 2 4 1"
"8","2 3 4 1","4 1 2 3","2 3 4 1"
"9","4 1 3 2","3 4 2 1","4 3 1 2"
"10","1 4 3 2","3 1 2 4","1 3 4 2"
"11","3 2 4 1","4 1.5 3 1.5","3 2 4 1"
"12","3 2 4 1","4 1.5 3 1.5","4 2 3 1"
"13","4 1 3 2","2.5 4 2.5 1","4 2 1 3"
"14","1 4 3 2","2.5 1 2.5 4","1 3 4 2"
"15","4 1 3 2","2 4 3 1","4 2 1 3"
"16","3 2 4 1","3 2 4 1","4 1 3 2"
"17","2 3 4 1","3 1 4 2","3 1 4 2"
"18","1 4 3 2","2 1 3 4","1 2 4 3"
"19","2 3 4 1","3 1.5 4 1.5","4 1 3 2"
"20","3 2 4 1","2 3 4 1","4 1 2 3"
"21","1 4 3 2","2 1 4 3","2 1 4 3"
"22","3 2 4 1","4 1 3 2","3 2 4 1"
"23","2.5 2.5 4 1","4 1 3 2","3 2 4 1"
"24","3 2 4 1","2.5 2.5 4 1","4 1 2 3"
"25","2 3 4 1","3 2 4 1","4 1 3 2"
"26","4 1 3 2","2.5 4 2.5 1","4 3 1 2"
"27","1 4 3 2","2.5 1 2.5 4","1 2 4 3"
"28","3 2 4 1","2.5 2.5 4 1","4 1 3 2"
"29","2.5 2.5 4 1","3 2 4 1","4 1 3 2"
"30","4 1 3 2","3 4 2 1","4 3 2 1"
"31","1.5 3 4 1.5","4 1 2 3","1 3 4 2"
"32","2 3 4 1","4 1 3 2","2 3 4 1"
"33","1.5 3 4 1.5","2 1 4 3","3 1 4 2"
"34","4 1 3 2","4 2.5 2.5 1","4 3 2 1"
"35","2 3 4 1","3 1.5 4 1.5","3 1 4 2"
"36","4 1 3 2","3.5 3.5 2 1","4 3 1 2"
"37","2 3 4 1","4 1 2 3","3 2 4 1"
"38","4 1 3 2","3.5 3.5 2 1","4 3 2 1"
"39","3 2 4 1","2 3 4 1","4 1 3 2"
"40","1 4 3 2","2 1 4 3","1 2 4 3"
"41","1 4 3 2","2 1 3.5 3.5","1 2 4 3"
"42","4 1 3 2","4 3 2 1","4 3 1 2"
"43","3.5 1.5 3.5 1.5","4 2 3 1","4 3 2 1"
"44","2 3 4 1","4 1 2.5 2.5","3 2 4 1"
"45","1 4 3 2","2 1 3.5 3.5","2 1 4 3"
"46","2 3 4 1","4 1 2.5 2.5","2 3 4 1"
"47","2 3 4 1","2.5 1 4 2.5","3 1 4 2"
"48","1.5 4 3 1.5","3 1 2 4","2 3 4 1"
"49","3.5 1.5 3.5 1.5","2 3 4 1","4 2 1 3"
"50","1.5 3.5 3.5 1.5","3 1 2 4","2 3 4 1"
"51","1.5 3.5 3.5 1.5","2 1 4 3","3 1 4 2"
"52","3 2 4 1","3 2 4 1","4 1 2 3"
"53","3.5 1.5 3.5 1.5","2 4 3 1","4 1 2 3"
"54","3 2 4 1","4 1 2 3","2 3 4 1"
"55","2 3 4 1","2 3 4 1","4 1 2 3"
"56","2.5 2.5 4 1","4 1 2 3","2 3 4 1"
"57","3.5 1.5 3.5 1.5","4 3 2 1","4 2 3 1"
"58","3 2 4 1","4 1 2.5 2.5","3 2 4 1"
"59","1.5 3 4 1.5","3 1 2 4","2 3 4 1"
"60","1 4 3 2","2 1 3 4","2 1 4 3"
"61","2.5 2.5 4 1","2 3 4 1","4 1 2 3"
"62","2 3 4 1","2.5 2.5 4 1","4 1 3 2"
"63","4 1 3 2","4 3 1 2","3 4 2 1"
"64","4 1 3 2","4 2 1 3","2 4 3 1"
"65","4 1 3 2","4 2.5 1 2.5","3 4 2 1"
"66","1 4 3 2","1 2.5 4 2.5","2 1 3 4"
"67","1 4 3 2","1 2.5 4 2.5","3 1 2 4"
"68","1 4 3 2","1 2 4 3","2 1 3 4"
"69","1 4 3 2","1 3 4 2","3 1 2 4"
"70","4 1 3 2","4 2.5 1 2.5","2 4 3 1"
"71","3 2 4 1","4 1 2.5 2.5","2 3 4 1"
"72","1.5 3.5 3.5 1.5","4 1 2 3","1 3 4 2"
"73","1 4 3 2","1.5 3 4 1.5","3 1 2 4"
"74","3.5 1.5 3.5 1.5","4 2 1 3","2 3 4 1"
"75","4 1 3 2","4 2 1 3","2 3 4 1"
"76","2 3 4 1","2.5 2.5 4 1","4 1 2 3"
"77","3 2 4 1","4 1 2 3","2 4 3 1"
"78","1.5 4 3 1.5","2 3 4 1","3 1 2 4"
"79","1.5 4 3 1.5","2 1 4 3","3 1 4 2"
"80","1 4 3 2","1.5 1.5 4 3","2 1 4 3"
"81","4 1 3 2","4 3 2 1","3 4 2 1"
"82","3 2 4 1","2 3 4 1","4 2 1 3"
"83","3.5 1.5 3.5 1.5","4 1 2 3","2 4 3 1"
"84","4 1 2.5 2.5","4 3 1 2","3 4 2 1"
"85","4 1 2.5 2.5","4 2 1 3","2 4 3 1"
"86","4 1 2.5 2.5","3 4 2 1","4 3 1 2"
"87","4 1 2.5 2.5","4 2.5 1 2.5","3 4 2 1"
"88","1 4 2.5 2.5","3 1 2 4","1 3 4 2"
"89","4 1 2.5 2.5","4 2.5 1 2.5","2 4 3 1"
"90","2.5 2.5 2.5 2.5","3 1 2 4","2 4 3 1"
"91","4 1 2.5 2.5","2.5 4 2.5 1","4 3 1 2"
"92","4 1 2.5 2.5","2.5 4 2.5 1","4 2 1 3"
"93","1 4 2.5 2.5","2.5 1 2.5 4","1 3 4 2"
"94","1 4 2.5 2.5","2.5 1 2.5 4","1 2 4 3"
"95","4 1 2.5 2.5","2 4 3 1","4 2 1 3"
"96","1 4 2.5 2.5","1 2.5 4 2.5","3 1 2 4"
"97","1 4 2.5 2.5","2 1 3 4","1 2 4 3"
"98","1 4 2.5 2.5","1 3 4 2","3 1 2 4"
"99","1 4 2.5 2.5","1 2 4 3","2 1 3 4"
"100","1 4 2.5 2.5","1 2.5 4 2.5","2 1 3 4"
"101","2.5 2.5 2.5 2.5","1 3 4 2","4 2 1 3"
"102","4 1 2 3","4 3 1 2","3 4 2 1"
"103","4 1 2 3","4 2.5 1 2.5","3 4 2 1"
"104","4 1 2 3","4 2 1 3","2 4 3 1"
"105","4 1 2 3","3 4 1 2","3 4 1 2"
"106","3 2 1 4","3 2 1 4","1 4 3 2"
"107","4 1 2 3","4 2.5 1 2.5","2 4 3 1"
"108","2 3 1 4","3 2 1 4","1 4 3 2"
"109","4 1 2 3","3 4 2 1","4 3 1 2"
"110","1 4 2 3","3 1 2 4","1 3 4 2"
"111","3 2 1 4","2 3.5 1 3.5","1 4 2 3"
"112","4 1 2 3","2.5 4 2.5 1","4 2 1 3"
"113","4 1 2 3","2.5 4 2.5 1","4 3 1 2"
"114","1 4 2 3","2.5 1 2.5 4","1 3 4 2"
"115","1 4 2 3","2.5 1 2.5 4","1 2 4 3"
"116","4 1 2 3","2 4 3 1","4 2 1 3"
"117","3 2 1 4","1 4 3 2","3 2 1 4"
"118","2 3 1 4","1 3.5 2 3.5","2 3 1 4"
"119","1 4 2 3","1 2 3 4","1 2 3 4"
"120","1 4 2 3","2 1 3 4","1 2 4 3"
"121","2 3 1 4","1 4 3 2","3 2 1 4"
"122","1 4 2 3","1 3 4 2","3 1 2 4"
"123","1 4 2 3","1 2.5 4 2.5","2 1 3 4"
"124","1 4 2 3","1 2 4 3","2 1 3 4"
"125","1 4 2 3","1 2.5 4 2.5","3 1 2 4"
"126","2.5 2.5 1 4","3 2 1 4","1 4 3 2"
"127","3 2 1 4","2 3.5 1 3.5","2 4 1 3"
"128","3 2 1 4","2 4 1 3","2 4 1 3"
"129","3 2 1 4","2 3 1 4","1 4 2 3"
"130","2 3 1 4","2 3 1 4","1 4 2 3"
"131","3 2 1 4","1 4 2 3","2 3 1 4"
"132","2 3 1 4","1 4 2 3","2 3 1 4"
"133","2 3 1 4","1 3 2 4","1 3 2 4"
"134","3.5 1.5 1.5 3.5","1 4 3 2","4 2 1 3"
"135","2.5 2.5 1 4","1 4 3 2","3 2 1 4"
"136","3 2 1 4","1.5 4 1.5 3","2 3 1 4"
"137","3 2 1 4","1.5 4 1.5 3","2 4 1 3"
"138","2 3 1 4","1.5 3 1.5 4","1 3 2 4"
"139","2 3 1 4","1 3.5 2 3.5","1 3 2 4"
"140","4 1 2 3","3 4 1.5 1.5","3 4 1 2"
"141","3 1.5 1.5 4","2 4 1 3","3 4 1 2"
"142","2 3 1 4","1 4 2.5 2.5","2 3 1 4"
"143","3 1.5 1.5 4","3 2 1 4","2 4 3 1"
"144","1.5 3.5 1.5 3.5","3 2 1 4","1 3 4 2"
"145","2 3 1 4","1.5 3 1.5 4","1 4 2 3"
"146","3 1.5 1.5 4","1 4 3 2","4 2 1 3"
"147","1.5 3.5 1.5 3.5","1 4 3 2","3 1 2 4"
"148","3.5 1.5 1.5 3.5","3 2 1 4","2 4 3 1"
"149","4 1 2 3","3.5 3.5 1 2","3 4 1 2"
"150","3.5 1.5 1.5 3.5","2 4 3 1","3 2 1 4"
"151","1 4 2 3","1 2 3.5 3.5","1 2 3 4"
"152","4 1 2 3","3.5 3.5 1 2","3 4 2 1"
"153","3 2 1 4","2.5 2.5 1 4","1 4 3 2"
"154","2 3 1 4","1 4 2.5 2.5","3 2 1 4"
"155","1 4 2 3","1 2 3.5 3.5","2 1 3 4"
"156","3 2 1 4","3 2 1 4","1 4 2 3"
"157","3 2 1 4","2.5 2.5 1 4","1 4 2 3"
"158","2.5 2.5 1 4","2 3 1 4","1 4 2 3"
"159","2 3 1 4","2.5 2.5 1 4","1 4 3 2"
"160","3 2 1 4","1 4 2.5 2.5","3 2 1 4"
"161","2.5 2.5 1 4","1 4 2 3","2 3 1 4"
"162","4 1 2 3","2 4 3 1","3 2 1 4"
"163","3 2 1 4","1 4 2.5 2.5","2 3 1 4"
"164","2 3 1 4","1 4 3 2","2 3 1 4"
"165","1 4 2 3","1 2 4 3","1 2 3 4"
"166","1 4 2 3","1 2 3 4","2 1 3 4"
"167","1 4 2 3","3 1.5 1.5 4","1 3 4 2"
"168","1.5 3.5 1.5 3.5","1 3 4 2","3 2 1 4"
"169","4 1 2 3","3 4 1 2","3 4 2 1"
"170","3.5 1.5 1.5 3.5","2 4 1 3","3 4 1 2"
"171","2 3 1 4","1 4 2 3","3 2 1 4"
"172","3.5 1.5 1.5 3.5","4 2 1 3","1 4 3 2"
"173","3 2 1 4","2 3 1 4","1 4 3 2"
"174","1.5 3.5 1.5 3.5","1 2 3 4","1 3 2 4"
"175","4 1 2 3","4 3 1 2","3 4 1 2"
"176","4 1.5 1.5 3","3 4 1 2","2 4 1 3"
"177","2 3 1 4","1 2.5 2.5 4","1 3 2 4"
