"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)"
"96","1.5 4 3 1.5","2 1 4 3","3 1 4 2"
"97","1.5 4 3 1.5","2 3 4 1","3.5 1 2 3.5"
"98","4 1 3 2","4 3 2 1","3 4 2 1"
"99","3 2 4 1","2 3 4 1","4 2 1 3"
"100","1.5 4 3 1.5","1 3 4 2","3.5 1 2 3.5"
"101","3.5 1.5 3.5 1.5","4 1 2 3","2 4 3 1"
"102","4 1 2.5 2.5","4 3 1 2","3 4 2 1"
"103","4 1 2.5 2.5","4 2 1 3","2 4 3 1"
"104","4 1 2.5 2.5","3 4 2 1","4 3 1 2"
"105","1 4 2.5 2.5","3 1 2 4","1 3 4 2"
"106","2.5 2.5 2.5 2.5","3 1 2 4","2 4 3 1"
"107","2.5 2.5 2.5 2.5","3 1 2 4","1.5 3.5 3.5 1.5"
"108","2.5 2.5 2.5 2.5","4 2 1 3","1.5 3.5 3.5 1.5"
"109","4 1 2.5 2.5","2 4 3 1","4 2 1 3"
"110","1 4 2.5 2.5","2 1 3 4","1 2 4 3"
"111","1 4 2.5 2.5","1 3 4 2","3 1 2 4"
"112","1 4 2.5 2.5","1 2 4 3","2 1 3 4"
"113","2.5 2.5 2.5 2.5","2 4 3 1","3.5 1.5 1.5 3.5"
"114","2.5 2.5 2.5 2.5","1 3 4 2","3.5 1.5 1.5 3.5"
"115","2.5 2.5 2.5 2.5","1 3 4 2","4 2 1 3"
"116","4 1 2 3","4 3 1 2","3 4 2 1"
"117","4 1 2 3","4 2 1 3","2 4 3 1"
"118","4 1 2 3","3 4 1 2","3 4 1 2"
"119","3 2 1 4","3 2 1 4","1 4 3 2"
"120","2 3 1 4","3 2 1 4","1 4 3 2"
"121","4 1 2 3","3 4 2 1","4 3 1 2"
"122","1 4 2 3","3 1 2 4","1 3 4 2"
"123","4 1 2 3","2 4 3 1","4 2 1 3"
"124","3 2 1 4","1 4 3 2","3 2 1 4"
"125","1 4 2 3","1 2 3 4","1 2 3 4"
"126","1 4 2 3","2 1 3 4","1 2 4 3"
"127","2 3 1 4","1 4 3 2","3 2 1 4"
"128","1 4 2 3","1 3 4 2","3 1 2 4"
"129","1 4 2 3","1 2 4 3","2 1 3 4"
"130","2.5 2.5 1 4","3 2 1 4","1 4 3 2"
"131","4 1 2 3","3 4 1 2","3.5 3.5 1 2"
"132","3 2 1 4","2 4 1 3","2 4 1 3"
"133","3 2 1 4","2 3 1 4","1 4 2 3"
"134","2 3 1 4","2 3 1 4","1 4 2 3"
"135","3 2 1 4","1 4 2 3","2 3 1 4"
"136","2 3 1 4","1 4 2 3","2 3 1 4"
"137","2 3 1 4","1 3 2 4","1 3 2 4"
"138","3.5 1.5 1.5 3.5","1 4 3 2","4 2 1 3"
"139","2.5 2.5 1 4","1 4 3 2","3 2 1 4"
"140","3 1.5 1.5 4","2 4 1 3","2.5 4 1 2.5"
"141","3 2 1 4","2 3 1 4","1 4 2.5 2.5"
"142","4 1 2 3","3 4 1 2","3 4 1.5 1.5"
"143","3 1.5 1.5 4","3 2 1 4","1.5 4 3 1.5"
"144","3 1.5 1.5 4","2 4 1 3","3 4 1 2"
"145","3 1.5 1.5 4","1 4 3 2","3.5 2 1 3.5"
"146","1 4 2 3","1 2 3 4","1 2 3.5 3.5"
"147","3.5 1.5 1.5 3.5","3 2 1 4","1.5 4 3 1.5"
"148","2 3 1 4","3 2 1 4","1 3.5 3.5 2"
"149","3 1.5 1.5 4","3 2 1 4","2 4 3 1"
"150","1.5 3.5 1.5 3.5","3 2 1 4","1 3 4 2"
"151","1.5 3.5 1.5 3.5","3 2 1 4","1 3.5 3.5 2"
"152","3 2 1 4","1 4 3 2","3.5 2 1 3.5"
"153","1.5 3.5 1.5 3.5","1 4 3 2","3 1.5 1.5 4"
"154","1 4 2 3","1 2 3 4","1.5 1.5 3 4"
"155","3 1.5 1.5 4","1 4 3 2","4 2 1 3"
"156","1.5 3.5 1.5 3.5","1 4 3 2","3 1 2 4"
"157","1.5 3.5 1.5 3.5","1 3 4 2","3 1.5 1.5 4"
"158","3.5 1.5 1.5 3.5","3 2 1 4","2 4 3 1"
"159","3.5 1.5 1.5 3.5","4 2 1 3","1.5 4 3 1.5"
"160","4 1 2 3","3 4 1 2","2.5 4 1 2.5"
"161","2 3 1 4","1 4 3 2","2.5 2.5 1 4"
"162","3.5 1.5 1.5 3.5","2 4 3 1","3 2 1 4"
"163","4 1 2 3","4 2 1 3","1.5 4 3 1.5"
"164","4 1 2 3","4 3 1 2","3 4 1.5 1.5"
"165","4 1 2 3","3 4 2 1","3.5 3.5 1 2"
"166","3.5 1.5 1.5 3.5","3 4 1 2","2.5 4 1 2.5"
"167","3 2 1 4","3 2 1 4","1 4 2 3"
"168","1 4 2 3","3 1 2 4","1 3.5 3.5 2"
"169","2.5 2.5 1 4","2 3 1 4","1 4 2 3"
"170","3.5 1.5 1.5 3.5","2 4 1 3","2.5 4 1 2.5"
"171","3.5 1.5 1.5 3.5","2 4 3 1","3.5 2 1 3.5"
"172","2.5 2.5 1 4","1 4 2 3","2 3 1 4"
"173","1 4 2 3","2 1 3 4","1 2 3.5 3.5"
"174","1 4 2 3","1 2 3 4","1 2.5 2.5 4"
"175","4 1 2 3","2 4 3 1","3 2 1 4"
"176","2 3 1 4","1 4 3 2","2 3 1 4"
"177","1 4 2 3","1 2 4 3","1 2 3 4"
"178","1 4 2 3","1 3 4 2","3 1.5 1.5 4"
"179","1 4 2 3","1 2 3 4","2 1 3 4"
"180","1.5 3.5 1.5 3.5","1 3 4 2","3 2 1 4"
"181","3 2 1 4","2 4 1 3","2.5 4 1 2.5"
"182","2 3 1 4","2 3 1 4","1 4 2.5 2.5"
"183","4 1 2 3","3 4 1 2","3 4 2 1"
"184","3.5 1.5 1.5 3.5","2 4 1 3","3 4 1 2"
"185","3 2 1 4","1 4 2 3","2.5 2.5 1 4"
"186","2 3 1 4","1 4 2 3","2.5 2.5 1 4"
"187","2 3 1 4","1 3 2 4","1 2.5 2.5 4"
"188","1.5 3.5 1.5 3.5","1 3 2 4","1 2.5 2.5 4"
"189","2 3 1 4","1 4 2 3","3 2 1 4"
"190","3 2 1 4","3 2 1 4","1.5 4 3 1.5"
"191","2 3 1 4","1 4 3 2","3 1.5 1.5 4"
"192","4 1.5 1.5 3","3 4 1 2","2.5 4 1 2.5"
"193","3 2 1 4","3 2 1 4","1 4 2.5 2.5"
"194","2 3 1 4","3 2 1 4","1 4 2.5 2.5"
"195","3 2 1 4","1 4 3 2","2.5 2.5 1 4"
"196","1.5 3.5 1.5 3.5","1 2 3 4","1 2.5 2.5 4"
"197","1 4 2 3","1 2 4 3","1.5 1.5 3 4"
"198","3.5 1.5 1.5 3.5","4 2 1 3","1 4 3 2"
"199","3 2 1 4","2 3 1 4","1 4 3 2"
"200","1.5 3.5 1.5 3.5","1 2 3 4","1 3 2 4"
"201","4 1 2 3","4 3 1 2","3 4 1 2"
"202","4 1.5 1.5 3","4 2 1 3","1.5 4 3 1.5"
"203","4 1.5 1.5 3","3 4 1 2","2 4 1 3"
