"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)"
"1","3 2 4 1      ","3.5 2 3.5 1      ","4 1.5 3 1.5      "
"2","3 2 4 1      ","3.5 2 3.5 1      ","4 1 3 2      "
"3","3 2 4 1      ","3.5 2 3.5 1      ","4 2 3 1      "
"4","2 3 4 1      ","3.5 1 3.5 2      ","3 1.5 4 1.5      "
"5","2 3 4 1      ","3.5 1 3.5 2      ","3 1 4 2      "
"6","2 3 4 1      ","3.5 1 3.5 2      ","3 2 4 1      "
"7","4 1 3 2      ","3.5 3.5 2 1      ","4 3 1.5 1.5      "
"8","4 1 3 2      ","4 3 2 1      ","4 3 2 1      "
"9","3 2 4 1      ","4 2 3 1      ","4 2 3 1      "
"10","3 2 4 1      ","4 1.5 3 1.5      ","3.5 2 3.5 1      "
"11","2 3 4 1      ","4 1 3 2      ","3 2 4 1      "
"12","2 3 4 1      ","4 1 2 3      ","2 3 4 1      "
"13","4 1 3 2      ","3 4 2 1      ","4 3 1 2      "
"14","2 3 4 1      ","4 1 3 2      ","2.5 2.5 4 1      "
"15","1 4 3 2      ","3 1 2 4      ","1 3 4 2      "
"16","3 2 4 1      ","4 1.5 3 1.5      ","3 2 4 1      "
"17","3 2 4 1      ","4 1.5 3 1.5      ","4 2 3 1      "
"18","4 1 3 2      ","2.5 4 2.5 1      ","4 2 1 3      "
"19","1 4 3 2      ","2.5 1 2.5 4      ","1 3 4 2      "
"20","4 1 3 2      ","2 4 3 1      ","4 2 1 3      "
"21","3 2 4 1      ","3 2 4 1      ","4 1 3 2      "
"22","2 3 4 1      ","3 1.5 4 1.5      ","3.5 1 3.5 2      "
"23","2 3 4 1      ","3 1 4 2      ","3 1 4 2      "
"24","1 4 3 2      ","2 1 3 4      ","1 2 4 3      "
"25","2 3 4 1      ","3 1.5 4 1.5      ","4 1 3 2      "
"26","3 2 4 1      ","2.5 2.5 4 1      ","4 1 2.5 2.5      "
"27","3 2 4 1      ","2 3 4 1      ","4 1 2 3      "
"28","1 4 3 2      ","2 1 4 3      ","2 1 4 3      "
"29","1 4 3 2      ","2 1 3.5 3.5      ","1.5 1.5 4 3      "
"30","3 2 4 1      ","4 1 3 2      ","3 2 4 1      "
"31","4 1 3 2      ","2.5 4 2.5 1      ","4 2.5 1 2.5      "
"32","1 4 3 2      ","2.5 1 2.5 4      ","1 2.5 4 2.5      "
"33","1 4 3 2      ","2 1 4 3      ","1.5 1.5 4 3      "
"34","3 2 4 1      ","2.5 2.5 4 1      ","4 1 2 3      "
"35","2 3 4 1      ","3 1 4 2      ","2.5 1 4 2.5      "
"36","2 3 4 1      ","3 2 4 1      ","4 1 3 2      "
"37","4 1 3 2      ","2.5 4 2.5 1      ","4 3 1 2      "
"38","1 4 3 2      ","2.5 1 2.5 4      ","1 2 4 3      "
"39","3 2 4 1      ","2.5 2.5 4 1      ","4 1 3 2      "
"40","2 3 4 1      ","4 1 2 3      ","2.5 2.5 4 1      "
"41","4 1 3 2      ","3 4 2 1      ","4 3 2 1      "
"42","4 1 3 2      ","3 4 2 1      ","4 3 1.5 1.5      "
"43","2 3 4 1      ","4 1 3 2      ","2 3 4 1      "
"44","3 2 4 1      ","2 3 4 1      ","4 1 2.5 2.5      "
"45","4 1 3 2      ","4 2.5 2.5 1      ","4 3 2 1      "
"46","1 4 3 2      ","2 1 4 3      ","2.5 1 4 2.5      "
"47","2 3 4 1      ","3 1.5 4 1.5      ","3 1 4 2      "
"48","4 1 3 2      ","3.5 3.5 2 1      ","4 3 1 2      "
"49","2 3 4 1      ","4 1 2 3      ","3 2 4 1      "
"50","4 1 3 2      ","3.5 3.5 2 1      ","4 3 2 1      "
"51","3 2 4 1      ","2 3 4 1      ","4 1 3 2      "
"52","1 4 3 2      ","2 1 4 3      ","1 2 4 3      "
"53","1 4 3 2      ","2 1 3.5 3.5      ","1 2 4 3      "
"54","4 1 3 2      ","4 3 2 1      ","4 3 1.5 1.5      "
"55","4 1 3 2      ","4 3 2 1      ","4 3 1 2      "
"56","3 2 4 1      ","3 2 4 1      ","4 1 2.5 2.5      "
"57","2 3 4 1      ","4 1 2.5 2.5      ","3 2 4 1      "
"58","1 4 3 2      ","2 1 3.5 3.5      ","2 1 4 3      "
"59","2 3 4 1      ","4 1 2.5 2.5      ","2 3 4 1      "
"60","1 4 3 2      ","3 1 2 4      ","1.5 3 4 1.5      "
"61","2 3 4 1      ","2.5 1 4 2.5      ","2.5 1 4 2.5      "
"62","2 3 4 1      ","2.5 1 4 2.5      ","3 1 4 2      "
"63","2 3 4 1      ","4 1 2 3      ","1.5 3 4 1.5      "
"64","4 1 3 2      ","4 3 2 1      ","4 2.5 2.5 1      "
"65","4 1 3 2      ","2 4 3 1      ","4 1.5 1.5 3      "
"66","1 4 3 2      ","2 1 3 4      ","1.5 1.5 4 3      "
"67","2 3 4 1      ","4 1 2.5 2.5      ","2.5 2.5 4 1      "
"68","3 2 4 1      ","4 2.5 2.5 1      ","4 2.5 2.5 1      "
"69","3 2 4 1      ","2 3 4 1      ","4 1.5 1.5 3      "
"70","3 2 4 1      ","3 2 4 1      ","4 1 2 3      "
"71","3 2 4 1      ","4 1 2 3      ","2 3 4 1      "
"72","2 3 4 1      ","2 3 4 1      ","4 1 2 3      "
"73","3 2 4 1      ","4 1 2 3      ","2.5 2.5 4 1      "
"74","2 3 4 1      ","2 3 4 1      ","4 1 2.5 2.5      "
"75","3 2 4 1      ","4 1 2.5 2.5      ","2.5 2.5 4 1      "
"76","3 2 4 1      ","4 1 2.5 2.5      ","3 2 4 1      "
"77","1 4 3 2      ","2 1 3 4      ","2 1 4 3      "
"78","2 3 4 1      ","2.5 2.5 4 1      ","4 1 2.5 2.5      "
"79","2 3 4 1      ","2.5 2.5 4 1      ","4 1 3 2      "
"80","4 1 3 2      ","4 3 1 2      ","3 4 2 1      "
"81","4 1 3 2      ","4 2.5 1 2.5      ","2.5 4 2.5 1      "
"82","4 1 3 2      ","4 2 1 3      ","2 4 3 1      "
"83","4 1 3 2      ","4 2.5 1 2.5      ","3 4 2 1      "
"84","4 1 3 2      ","4 2 1 3      ","2 3.5 3.5 1      "
"85","1 4 3 2      ","1 2.5 4 2.5      ","2 1 3 4      "
"86","1 4 3 2      ","1 2.5 4 2.5      ","3 1 2 4      "
"87","1 4 3 2      ","1 2 4 3      ","2 1 3 4      "
"88","1 4 3 2      ","1 3 4 2      ","3 1 2 4      "
"89","4 1 3 2      ","4 2.5 2.5 1      ","4 2.5 2.5 1      "
"90","1 4 3 2      ","1 2.5 4 2.5      ","2.5 1 2.5 4      "
"91","4 1 3 2      ","4 2.5 1 2.5      ","2 4 3 1      "
"92","4 1 3 2      ","4 3 2 1      ","3.5 3.5 2 1      "
"93","3 2 4 1      ","4 2 3 1      ","4 2.5 2.5 1      "
"94","3 2 4 1      ","4 1 2.5 2.5      ","2 3 4 1      "
"95","2 3 4 1      ","3 2 4 1      ","4 1 2.5 2.5      "
"96","1 4 3 2      ","2 1 4 3      ","2 1 3.5 3.5      "
"97","1 4 3 2      ","1.5 3 4 1.5      ","3 1 2 4      "
"98","1 4 3 2      ","1.5 1.5 4 3      ","2 1 3.5 3.5      "
"99","4 1 3 2      ","4 3 1 2      ","3.5 3.5 2 1      "
"100","4 1 3 2      ","4 3 1.5 1.5      ","3.5 3.5 2 1      "
"101","4 1 3 2      ","4 2 1 3      ","2 3 4 1      "
"102","2 3 4 1      ","2.5 2.5 4 1      ","4 1 2 3      "
"103","1 4 3 2      ","1 2.5 4 2.5      ","3 1 3 3      "
"104","1 4 3 2      ","1 3 4 2      ","3.5 1 2 3.5      "
"105","1 4 3 2      ","1 2 4 3      ","2 1 3.5 3.5      "
"106","1 4 3 2      ","1.5 3 4 1.5      ","3.5 1 2 3.5      "
"107","3 2 4 1      ","4 1 2 3      ","2 4 3 1      "
"108","3 2 4 1      ","4 1 2 3      ","2 3.5 3.5 1      "
"109","1 4 3 2      ","1.5 1.5 4 3      ","2 1 4 3      "
"110","4 1 3 2      ","4 3 2 1      ","3 4 2 1      "
"111","3 2 4 1      ","4 1.5 1.5 3      ","2 3.5 3.5 1      "
"112","3 2 4 1      ","2 3 4 1      ","4 2 1 3      "
"113","4 1 2 3      ","3.5 3.5 1 2      ","3 4 1.5 1.5      "
"114","4 1 2 3      ","4 3 1 2      ","3 4 2 1      "
"115","4 1 2 3      ","4 2.5 1 2.5      ","3 4 2 1      "
"116","4 1 2 3      ","4 2 1 3      ","2 4 3 1      "
"117","4 1 2 3      ","3 4 1 2      ","3 4 1 2      "
"118","4 1 2 3      ","4 2.5 1 2.5      ","2.5 4 2.5 1      "
"119","3 2 1 4      ","3 2 1 4      ","1 4 3 2      "
"120","4 1 2 3      ","4 2.5 1 2.5      ","2 4 3 1      "
"121","2 3 1 4      ","3 2 1 4      ","1 4 3 2      "
"122","4 1 2 3      ","3 4 2 1      ","4 3 1 2      "
"123","1 4 2 3      ","3 1 2 4      ","1 3 4 2      "
"124","3 2 1 4      ","2 3.5 1 3.5      ","1 4 2 3      "
"125","3 2 1 4      ","2.5 2.5 1 4      ","1 4 2.5 2.5      "
"126","4 1 2 3      ","2.5 4 2.5 1      ","4 2 1 3      "
"127","4 1 2 3      ","2.5 4 2.5 1      ","4 2.5 1 2.5      "
"128","4 1 2 3      ","2.5 4 2.5 1      ","4 3 1 2      "
"129","3 2 1 4      ","1.5 4 1.5 3      ","2 3.5 1 3.5      "
"130","2 3 1 4      ","1.5 3 1.5 4      ","1 3.5 2 3.5      "
"131","1 4 2 3      ","2.5 1 2.5 4      ","1 3 4 2      "
"132","1 4 2 3      ","2.5 1 2.5 4      ","1 2 4 3      "
"133","1 4 2 3      ","2.5 1 2.5 4      ","1 2.5 4 2.5      "
"134","4 1 2 3      ","2 4 3 1      ","4 2 1 3      "
"135","3 2 1 4      ","1 4 3 2      ","3 2 1 4      "
"136","2 3 1 4      ","1 4 2.5 2.5      ","2.5 2.5 1 4      "
"137","2 3 1 4      ","1 3.5 2 3.5      ","2 3 1 4      "
"138","1 4 2 3      ","1 2 3 4      ","1 2 3 4      "
"139","1 4 2 3      ","2 1 3 4      ","1 2 4 3      "
"140","2 3 1 4      ","1 4 3 2      ","3 2 1 4      "
