"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)"
"141","1 4 2 3      ","1 2.5 4 2.5      ","2.5 1 2.5 4      "
"142","1 4 2 3      ","1 3 4 2      ","3 1 2 4      "
"143","1 4 2 3      ","1 2.5 4 2.5      ","2 1 3 4      "
"144","1 4 2 3      ","1 2 4 3      ","2 1 3 4      "
"145","1 4 2 3      ","1 2.5 4 2.5      ","3 1 2 4      "
"146","1 4 2 3      ","1 2 3.5 3.5      ","1.5 1.5 3 4      "
"147","4 1 2 3      ","3 4 1.5 1.5      ","3.5 3.5 1 2      "
"148","4 1 2 3      ","3 4 1 2      ","3.5 3.5 1 2      "
"149","3 2 1 4      ","2 3.5 1 3.5      ","2 4 1 3      "
"150","3 2 1 4      ","2 4 1 3      ","2 4 1 3      "
"151","3 2 1 4      ","2 3.5 1 3.5      ","1.5 4 1.5 3      "
"152","3 2 1 4      ","2 3 1 4      ","1 4 2 3      "
"153","2 3 1 4      ","2 3 1 4      ","1 4 2 3      "
"154","3 2 1 4      ","1 4 2 3      ","2 3 1 4      "
"155","2 3 1 4      ","1 4 2 3      ","2 3 1 4      "
"156","2 3 1 4      ","1 3 2 4      ","1 3 2 4      "
"157","2 3 1 4      ","1 3.5 2 3.5      ","1.5 3 1.5 4      "
"158","1 4 2 3      ","1.5 1.5 3 4      ","1 2 3.5 3.5      "
"159","3 2 1 4      ","2 3 1 4      ","1 4 2.5 2.5      "
"160","3 2 1 4      ","1.5 4 1.5 3      ","2 3 1 4      "
"161","3 2 1 4      ","1.5 4 1.5 3      ","2 4 1 3      "
"162","2 3 1 4      ","1.5 3 1.5 4      ","1 3 2 4      "
"163","2 3 1 4      ","1 3.5 2 3.5      ","1 3 2 4      "
"164","4 1 2 3      ","3 4 1 2      ","3 4 1.5 1.5      "
"165","4 1 2 3      ","3 4 1.5 1.5      ","3 4 1 2      "
"166","2 3 1 4      ","1 4 2.5 2.5      ","2 3 1 4      "
"167","1 4 2 3      ","1 2 3 4      ","1 2 3.5 3.5      "
"168","2 3 1 4      ","3 2 1 4      ","1 3.5 3.5 2      "
"169","2 3 1 4      ","1.5 3 1.5 4      ","1 4 2 3      "
"170","3 2 1 4      ","1 4 3 2      ","3.5 2 1 3.5      "
"171","1 4 2 3      ","1 2 3 4      ","1.5 1.5 3 4      "
"172","4 1 2 3      ","3.5 3.5 1 2      ","3 4 1 2      "
"173","4 1 2 3      ","3 4 1 2      ","2.5 4 1 2.5      "
"174","2 3 1 4      ","1 4 3 2      ","2.5 2.5 1 4      "
"175","1 4 2 3      ","1 2 3.5 3.5      ","1 2 3 4      "
"176","4 1 2 3      ","3.5 3.5 1 2      ","3 4 2 1      "
"177","3 2 1 4      ","2.5 2.5 1 4      ","1 4 3 2      "
"178","2 3 1 4      ","1 4 2.5 2.5      ","3 2 1 4      "
"179","1 4 2 3      ","1 2 3.5 3.5      ","2 1 3 4      "
"180","4 1 2 3      ","4 2 1 3      ","1.5 4 3 1.5      "
"181","4 1 2 3      ","4 3 1 2      ","3 4 1.5 1.5      "
"182","4 1 2 3      ","3 4 2 1      ","3.5 3.5 1 2      "
"183","3 2 1 4      ","3 2 1 4      ","1 4 2 3      "
"184","1 4 2 3      ","3 1 2 4      ","1 3.5 3.5 2      "
"185","3 2 1 4      ","2.5 2.5 1 4      ","1 4 2 3      "
"186","2 3 1 4      ","2.5 2.5 1 4      ","1 4 2.5 2.5      "
"187","1 4 2 3      ","3 1.5 1.5 4      ","1 3.5 3.5 2      "
"188","2 3 1 4      ","2.5 2.5 1 4      ","1 4 3 2      "
"189","1 4 2 3      ","2.5 1 2.5 4      ","1 3 3 3      "
"190","3 2 1 4      ","1 4 2.5 2.5      ","3 2 1 4      "
"191","1 4 2 3      ","2 1 3 4      ","1 2 3.5 3.5      "
"192","1 4 2 3      ","1 2 3 4      ","1 2.5 2.5 4      "
"193","4 1 2 3      ","2 4 3 1      ","3 2 1 4      "
"194","3 2 1 4      ","1 4 2.5 2.5      ","2 3 1 4      "
"195","2 3 1 4      ","1 4 3 2      ","2 3 1 4      "
"196","1 4 2 3      ","1 2 4 3      ","1 2 3 4      "
"197","1 4 2 3      ","1 3 4 2      ","3 1.5 1.5 4      "
"198","1 4 2 3      ","1 2 3 4      ","2 1 3 4      "
"199","1 4 2 3      ","3 1.5 1.5 4      ","1 3 4 2      "
"200","3 2 1 4      ","2 4 1 3      ","2.5 4 1 2.5      "
"201","2 3 1 4      ","2 3 1 4      ","1 4 2.5 2.5      "
"202","4 1 2 3      ","3 4 1 2      ","3 4 2 1      "
"203","3 2 1 4      ","1 4 2 3      ","2.5 2.5 1 4      "
"204","2 3 1 4      ","1 4 2 3      ","2.5 2.5 1 4      "
"205","2 3 1 4      ","1 3 2 4      ","1 2.5 2.5 4      "
"206","2 3 1 4      ","1 4 2 3      ","3 2 1 4      "
"207","3 2 1 4      ","3 2 1 4      ","1.5 4 3 1.5      "
"208","2 3 1 4      ","1 4 3 2      ","3 1.5 1.5 4      "
"209","3 2 1 4      ","3 2 1 4      ","1 4 2.5 2.5      "
"210","2 3 1 4      ","3 2 1 4      ","1 4 2.5 2.5      "
"211","3 2 1 4      ","1 4 3 2      ","2.5 2.5 1 4      "
"212","1 4 2 3      ","1 2 4 3      ","1.5 1.5 3 4      "
"213","3 2 1 4      ","2 3 1 4      ","1 4 3 2      "
"214","4 1 2 3      ","4 3 1 2      ","3 4 1 2      "
"215","2 3 1 4      ","1 2.5 2.5 4      ","1 2.5 2.5 4      "
"216","2 3 1 4      ","1 2.5 2.5 4      ","1 3 2 4      "
"217","1 4 2 3      ","1 2.5 2.5 4      ","1 2.5 2.5 4      "
