"","P(A)_P(¬A)_P(B)_P(¬B)","n"
"1","1 4 2 3      ",13
"2","1 4 3 2      ",13
"3","2 3 1 4      ",12
"4","2 3 4 1      ",11
"5","3 2 1 4      ",12
"6","3 2 4 1      ",14
"7","4 1 2 3      ",12
"8","4 1 3 2      ",13
