"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A^∨B)_P(¬A∨B)_P(¬B∨¬A)"
"97","3_1_4_2","3_4_2_1","4_3_1_2"
"98","1_4_3_2","2_1_4_3","3_1_4_2"
"99","4_2_3_1","3_4_2_1","4_3_1_2"
"100","1_3_4_2","3_1_2_4","3_1_4_2"
"101","1_3_4_2","3_1_4_2","2_1_4_3"
"102","4_1_3_2","4_2_3_1","4_1_2_3"
"103","3_2_4_1","3_1_4_2","4_2_3_1"
"104","2_3_4_1","2_1_4_3","1_2_4_3"
"105","4_2_3_1","4_2_3_1","4_3_2_1"
"106","2_4_3_1","2_1_3_4","3_1_4_2"
"107","4_2_3_1","3_4_2_1","4_2_1_3"
"108","1_4_3_2","4_1_3_2","2_3_4_1"
"109","2_3_4_1","2_1_4_3","3_2_4_1"
"110","3_1_4_2","3_2_4_1","4_2_1_3"
"111","2_3_4_1","4_2_3_1","4_2_3_1"
"112","3_1_4_2","2_4_3_1","4_3_2_1"
"113","2_4_3_1","3_1_4_2","1_2_4_3"
"114","3_2_4_1","2_3_4_1","4_2_1_3"
"115","3_2_4_1","4_2_3_1","3_1_4_2"
"116","2_3_4_1","3_1_2_4","2_3_4_1"
"117","4_2_3_1","4_3_2_1","4_2_1_3"
"118","1_4_3_2","4_1_2_3","2_1_4_3"
"119","4_1_3_2","4_3_2_1","4_1_3_2"
"120","2_3_4_1","4_1_3_2","2_1_4_3"
"121","1_4_3_2","3_1_4_2","3_1_4_2"
"122","3_1_4_2","3_4_2_1","4_2_1_3"
"123","2_3_4_1","4_1_3_2","4_2_3_1"
"124","1_3_4_2","3_1_2_4","2_3_4_1"
"125","3_2_4_1","4_2_3_1","4_3_1_2"
"126","1_3_4_2","2_1_4_3","3_2_4_1"
"127","1_3_4_2","4_1_3_2","3_1_4_2"
"128","2_4_3_1","3_1_4_2","1_3_4_2"
"129","4_2_3_1","3_4_2_1","4_2_3_1"
"130","2_4_3_1","4_1_2_3","2_3_4_1"
"131","3_2_4_1","3_4_2_1","4_3_1_2"
"132","1_4_3_2","2_1_4_3","1_2_4_3"
"133","3_2_4_1","3_2_4_1","4_1_2_3"
"134","4_2_3_1","4_2_3_1","4_1_3_2"
"135","1_3_4_2","2_1_3_4","1_2_4_3"
"136","3_1_4_2","4_2_3_1","4_2_3_1"
"137","3_2_4_1","4_2_3_1","3_2_4_1"
"138","4_1_3_2","2_3_4_1","4_3_2_1"
"139","1_3_4_2","2_1_3_4","1_3_4_2"
"140","4_2_3_1","2_4_3_1","4_3_1_2"
"141","2_4_3_1","4_1_3_2","3_2_4_1"
"142","2_3_4_1","4_2_3_1","3_2_4_1"
"143","1_4_3_2","2_1_4_3","3_2_4_1"
"144","3_1_4_2","4_3_2_1","4_3_1_2"
"145","3_1_4_2","3_4_2_1","4_3_2_1"
"146","3_2_4_1","4_2_3_1","4_1_2_3"
"147","2_3_4_1","4_1_3_2","1_3_4_2"
"148","4_1_3_2","4_2_3_1","4_2_1_3"
"149","2_4_3_1","4_1_2_3","3_1_4_2"
"150","2_3_4_1","2_1_4_3","2_1_4_3"
"151","4_1_3_2","2_4_3_1","4_1_3_2"
"152","2_4_3_1","2_1_4_3","3_1_4_2"
"153","4_1_3_2","2_4_3_1","4_3_1_2"
"154","1_3_4_2","2_1_3_4","2_1_4_3"
"155","4_1_3_2","3_2_4_1","4_2_3_1"
"156","4_1_3_2","4_2_3_1","4_3_2_1"
"157","2_4_3_1","3_1_2_4","3_2_4_1"
"158","4_2_3_1","3_2_4_1","4_3_2_1"
"159","1_4_3_2","3_1_4_2","1_2_4_3"
"160","3_2_4_1","4_3_2_1","4_3_1_2"
"161","4_1_3_2","3_2_4_1","4_3_1_2"
"162","2_4_3_1","2_1_4_3","2_1_4_3"
"163","3_2_4_1","4_3_2_1","4_2_1_3"
"164","3_2_4_1","2_3_4_1","4_2_3_1"
"165","4_1_3_2","3_4_2_1","4_2_1_3"
"166","2_3_4_1","4_1_2_3","3_1_4_2"
"167","1_4_3_2","4_1_2_3","3_1_4_2"
"168","4_2_3_1","2_3_4_1","4_3_2_1"
"169","1_4_3_2","4_1_2_3","3_2_4_1"
"170","1_3_4_2","4_1_3_2","1_2_4_3"
"171","3_2_4_1","4_3_2_1","4_1_3_2"
"172","4_2_3_1","2_3_4_1","4_1_2_3"
"173","1_3_4_2","3_1_4_2","3_2_4_1"
"174","3_1_4_2","4_3_2_1","4_3_2_1"
