"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A^∨B)_P(¬A∨B)_P(¬B∨¬A)"
"479","3_2_1_4","2_3_1_4","1_3_2_4"
"480","2_3_1_4","2_3_1_4","1_4_3_2"
"481","2_3_1_4","2_3_1_4","2_4_1_3"
"482","4_2_1_3","2_4_1_3","3_4_1_2"
"483","3_1_2_4","3_4_1_2","2_4_1_3"
"484","2_4_1_3","1_2_3_4","1_2_3_4"
"485","2_3_1_4","2_4_1_3","1_4_2_3"
"486","3_1_2_4","3_4_1_2","3_4_1_2"
"487","4_1_2_3","2_4_1_3","3_4_1_2"
"488","4_2_1_3","3_4_1_2","2_4_1_3"
"489","3_2_1_4","1_3_2_4","1_3_2_4"
"490","2_3_1_4","1_4_2_3","2_4_1_3"
"491","1_3_2_4","1_3_4_2","3_2_1_4"
"492","3_2_1_4","1_4_2_3","1_4_2_3"
"493","2_3_1_4","2_4_1_3","2_4_1_3"
"494","3_2_1_4","4_2_1_3","3_4_1_2"
"495","3_2_1_4","4_3_1_2","2_4_1_3"
"496","4_1_2_3","2_3_1_4","2_4_1_3"
"497","4_1_2_3","4_3_1_2","1_4_2_3"
"498","3_2_1_4","2_4_1_3","3_4_2_1"
"499","4_1_2_3","2_4_1_3","3_4_2_1"
"500","4_1_2_3","2_4_1_3","2_4_3_1"
"501","3_1_2_4","4_2_1_3","3_4_1_2"
"502","4_2_1_3","2_4_1_3","3_4_2_1"
"503","4_1_2_3","3_2_1_4","1_4_2_3"
"504","3_2_1_4","3_2_1_4","3_4_1_2"
"505","3_2_1_4","3_2_1_4","3_4_2_1"
"506","3_2_1_4","4_3_1_2","3_4_2_1"
"507","3_2_1_4","4_2_1_3","3_4_2_1"
"508","3_2_1_4","4_2_1_3","1_4_2_3"
"509","4_1_2_3","3_2_1_4","3_4_1_2"
"510","3_1_2_4","4_3_1_2","3_4_1_2"
"511","3_1_2_4","3_4_1_2","1_4_2_3"
"512","4_2_1_3","2_4_1_3","2_4_3_1"
"513","3_1_2_4","4_3_1_2","2_4_3_1"
"514","4_1_2_3","2_3_1_4","2_4_3_1"
"515","4_2_1_3","4_2_1_3","2_4_1_3"
"516","3_2_1_4","4_2_1_3","2_4_1_3"
"517","4_2_1_3","4_2_1_3","3_4_1_2"
"518","4_1_2_3","2_3_1_4","1_4_3_2"
"519","3_1_2_4","4_2_1_3","1_4_2_3"
"520","3_1_2_4","2_3_1_4","2_4_1_3"
"521","3_2_1_4","2_3_1_4","2_4_3_1"
"522","4_2_1_3","2_3_1_4","2_4_1_3"
"523","4_1_2_3","2_3_1_4","1_4_2_3"
"524","4_2_1_3","3_4_1_2","3_4_2_1"
"525","3_2_1_4","2_4_1_3","1_4_3_2"
"526","4_2_1_3","3_4_1_2","2_4_3_1"
"527","4_1_2_3","3_4_1_2","2_4_3_1"
"528","4_1_2_3","3_2_1_4","2_4_1_3"
"529","4_2_1_3","4_3_1_2","2_4_3_1"
"530","4_2_1_3","2_3_1_4","3_4_2_1"
"531","4_1_2_3","2_4_1_3","1_4_2_3"
"532","3_1_2_4","4_3_1_2","1_4_2_3"
"533","4_2_1_3","4_3_1_2","1_4_2_3"
"534","3_2_1_4","4_3_1_2","2_4_3_1"
"535","4_2_1_3","2_3_1_4","3_4_1_2"
"536","3_2_1_4","2_4_1_3","2_4_3_1"
"537","3_1_2_4","2_3_1_4","2_4_3_1"
"538","3_2_1_4","4_3_1_2","3_4_1_2"
"539","3_2_1_4","3_4_1_2","3_4_2_1"
"540","3_1_2_4","2_3_1_4","3_4_2_1"
"541","4_1_2_3","3_2_1_4","3_4_2_1"
"542","4_1_2_3","2_4_1_3","1_4_3_2"
"543","3_2_1_4","4_3_1_2","1_4_2_3"
"544","4_2_1_3","3_2_1_4","3_4_2_1"
"545","4_2_1_3","3_4_1_2","1_4_3_2"
"546","3_2_1_4","1_3_2_4","2_3_1_4"
"547","2_3_1_4","1_3_2_4","2_4_1_3"
"548","1_4_2_3","1_4_3_2","1_2_3_4"
"549","1_3_2_4","1_3_4_2","1_3_2_4"
"550","1_4_2_3","1_3_2_4","2_1_3_4"
"551","2_4_1_3","1_4_2_3","2_1_3_4"
"552","2_4_1_3","1_3_2_4","2_3_1_4"
"553","1_3_2_4","1_2_4_3","2_1_3_4"
"554","2_3_1_4","1_4_2_3","2_1_3_4"
"555","1_3_2_4","1_3_4_2","2_3_1_4"
"556","1_3_2_4","1_2_4_3","3_1_2_4"
"557","2_4_1_3","1_4_3_2","1_2_3_4"
"558","2_4_1_3","1_4_2_3","1_2_3_4"
"559","2_3_1_4","1_3_2_4","3_1_2_4"
"560","1_3_2_4","1_2_4_3","3_2_1_4"
"561","2_4_1_3","1_2_4_3","3_2_1_4"
"562","1_3_2_4","1_2_3_4","2_3_1_4"
"563","2_4_1_3","1_3_2_4","3_1_2_4"
"564","1_3_2_4","1_2_4_3","1_3_2_4"
"565","1_3_2_4","1_4_2_3","3_1_2_4"
"566","1_3_2_4","1_4_3_2","1_3_2_4"
"567","1_4_2_3","1_3_4_2","1_3_2_4"
"568","2_4_1_3","1_4_2_3","1_3_2_4"
"569","1_4_2_3","1_3_2_4","3_1_2_4"
"570","1_3_2_4","1_4_3_2","2_3_1_4"
"571","1_4_2_3","1_4_2_3","2_1_3_4"
"572","1_4_2_3","1_4_3_2","2_1_3_4"
"573","1_4_2_3","1_2_4_3","2_3_1_4"
"574","2_3_1_4","1_2_3_4","2_1_3_4"
"575","2_4_1_3","1_2_4_3","2_3_1_4"
"576","2_4_1_3","1_4_3_2","2_3_1_4"
"577","2_4_1_3","1_4_3_2","1_3_2_4"
"578","1_3_2_4","1_4_2_3","2_1_3_4"
"579","2_4_1_3","1_3_4_2","1_3_2_4"
"580","2_4_1_3","1_3_2_4","2_1_3_4"
"581","2_4_1_3","1_2_4_3","2_1_3_4"
"582","2_3_1_4","1_2_4_3","3_1_2_4"
"583","2_4_1_3","1_4_2_3","2_3_1_4"
"584","2_4_1_3","1_3_4_2","2_1_3_4"
"585","2_3_1_4","1_4_3_2","2_1_3_4"
"586","2_4_1_3","1_3_2_4","3_2_1_4"
"587","2_4_1_3","1_2_4_3","3_1_2_4"
"588","1_3_2_4","1_2_3_4","3_2_1_4"
"589","2_3_1_4","1_2_3_4","3_2_1_4"
"590","2_3_1_4","1_3_4_2","2_1_3_4"
"591","1_4_2_3","1_4_3_2","2_3_1_4"
"592","1_4_2_3","1_2_3_4","2_3_1_4"
"593","1_4_2_3","1_2_4_3","3_2_1_4"
"594","2_3_1_4","1_3_4_2","1_2_3_4"
"595","2_3_1_4","1_3_4_2","2_3_1_4"
"596","2_4_1_3","1_4_2_3","3_2_1_4"
"597","1_3_2_4","1_4_2_3","3_2_1_4"
"598","1_4_2_3","1_3_2_4","3_2_1_4"
"599","2_3_1_4","1_2_4_3","2_1_3_4"
"600","1_3_2_4","1_3_2_4","2_3_1_4"
"601","1_3_2_4","1_4_2_3","1_3_2_4"
"602","2_4_1_3","1_3_4_2","2_3_1_4"
