"","P(A)_P(¬A)_P(B)_P(¬B)","n"
"1","1 4 2 3      ",28
"2","1 4 3 2      ",28
"3","2 3 1 4      ",27
"4","2 3 4 1      ",27
"5","3 2 1 4      ",25
"6","3 2 4 1      ",29
"7","4 1 2 3      ",25
"8","4 1 3 2      ",28
