"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","number","freq"
"1","3 2 1 4","1 4 2 3",2,0.08
"2","3 2 1 4","1 4 2.5 2.5",2,0.08
"3","3 2 1 4","1 4 3 2",3,0.12
"4","3 2 1 4","1.5 4 1.5 3",3,0.12
"5","3 2 1 4","2 3 1 4",3,0.12
"6","3 2 1 4","2 3.5 1 3.5",3,0.12
"7","3 2 1 4","2 4 1 3",2,0.08
"8","3 2 1 4","2.5 2.5 1 4",3,0.12
"9","3 2 1 4","3 2 1 4",4,0.16
