"","PROLIFIC_PID","condition","event_set1_marginal","event_set1_conjunction","event_set1_disjunction","event_set1_order","event_set2_marginal","event_set2_conjunction","event_set2_disjunction","event_set2_order","event_set3_marginal","event_set3_conjunction","event_set3_disjunction","event_set3_order","event_set4_marginal","event_set4_conjunction","event_set4_disjunction","event_set4_order","event_set5_marginal","event_set5_conjunction","event_set5_disjunction","event_set5_order","event_set6_marginal","event_set6_conjunction","event_set6_disjunction","event_set6_order","event_set7_marginal","event_set7_conjunction","event_set7_disjunction","event_set7_order","event_set8_marginal","event_set8_conjunction","event_set8_disjunction","event_set8_order","numeracy_score","response_time","strat_1","Strat_2"
"11","5c87664ee0da6500178fe09f","full"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","3 _ 2 _ 4 _ 1","3 _ 4 _ 1 _ 2","3 _ 1 _ 4 _ 2","disjunction_conjunction_marginal","4 _ 1 _ 2 _ 3","4 _ 1 _ 2 _ 3","2 _ 3 _ 4 _ 1","marginal_conjunction_disjunction","_","_","_","-"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","1 _ 3 _ 4 _ 2","4 _ 1 _ 2 _ 3","4 _ 2 _ 1 _ 3","marginal_disjunction_conjunction",1,"275","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"12","5f1191325311bf011ab9d260","pair","3 _ 2 _ 1 _ 4","4 _ 3 _ 1 _ 2","2 _ 4 _ 3 _ 1","marginal_conjunction_disjunction","3 _ 2 _ 4 _ 1","3 _ 2 _ 4 _ 1","4 _ 2 _ 3 _ 1","marginal_disjunction_conjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","4 _ 1 _ 3 _ 2","4 _ 3 _ 2 _ 1","4 _ 2 _ 3 _ 1","marginal_disjunction_conjunction","1 _ 4 _ 2 _ 3","1 _ 2 _ 4 _ 3","1 _ 3 _ 2 _ 4","conjunction_disjunction_marginal","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-",4,"423","Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"13","5f225b3a4154037134135f6e","pair","3 _ 2 _ 4 _ 1","4 _ 2 _ 3 _ 1","1 _ 2 _ 3 _ 4","conjunction_disjunction_marginal","2 _ 3 _ 4 _ 1","3 _ 2 _ 4 _ 1","2 _ 3 _ 4 _ 1","conjunction_disjunction_marginal","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","2 _ 3 _ 1 _ 4","2 _ 1 _ 4 _ 3","4 _ 3 _ 1 _ 2","conjunction_disjunction_marginal","1 _ 4 _ 3 _ 2","2 _ 1 _ 3 _ 4","2 _ 1 _ 3 _ 4","disjunction_marginal_conjunction",4,"732","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results.,Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"14","55ad6781fdf99b649ca5a53f","full"," _  _  _ "," _  _  _ "," _  _  _ ","-","1 _ 3 _ 4 _ 2","3 _ 1 _ 4 _ 2","2 _ 1 _ 4 _ 3","marginal_disjunction_conjunction","4 _ 1 _ 3 _ 2","4 _ 3 _ 2 _ 1","4 _ 2 _ 3 _ 1","disjunction_marginal_conjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-","_","_","_","-","4 _ 1 _ 3 _ 2","4 _ 3 _ 2 _ 1","4 _ 3 _ 2 _ 1","conjunction_marginal_disjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-","2 _ 3 _ 1 _ 4","1 _ 3 _ 2 _ 4","1 _ 3 _ 2 _ 4","disjunction_marginal_conjunction",6,"546","Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Think about all events at the same time, and then come up with a full ranking simultaneously."
"15","5f219eec027b285891c7b273","pair","1 _ 4 _ 3 _ 2","4 _ 1 _ 2 _ 3","4 _ 1 _ 3 _ 2","disjunction_conjunction_marginal","1 _ 4 _ 3 _ 2","4 _ 1 _ 3 _ 2","3 _ 1 _ 4 _ 2","disjunction_conjunction_marginal","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","3 _ 2 _ 4 _ 1","4 _ 3 _ 2 _ 1","3 _ 4 _ 2 _ 1","marginal_disjunction_conjunction","3 _ 2 _ 4 _ 1","4 _ 3 _ 2 _ 1","4 _ 3 _ 2 _ 1","disjunction_marginal_conjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-",3,"834","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results."
"16","5ae194995f327e0001fbb23e","pair","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","3 _ 2 _ 1 _ 4","4 _ 3 _ 2 _ 1","2 _ 3 _ 1 _ 4","marginal_conjunction_disjunction","1 _ 4 _ 3 _ 2","4 _ 1 _ 2 _ 3","2 _ 1 _ 4 _ 3","conjunction_marginal_disjunction","4 _ 1 _ 3 _ 2","4 _ 3 _ 2 _ 1","3 _ 2 _ 4 _ 1","disjunction_conjunction_marginal","4 _ 1 _ 2 _ 3","4 _ 2 _ 3 _ 1","4 _ 2 _ 3 _ 1","conjunction_marginal_disjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-",3,"630","Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results."
"17","5f2197addaf3ae0bc4dafc4a","full","1 _ 2 _ 4 _ 3","1 _ 3 _ 4 _ 2","4 _ 2 _ 3 _ 1","disjunction_conjunction_marginal"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","1 _ 3 _ 4 _ 2","3 _ 1 _ 4 _ 2","1 _ 2 _ 4 _ 3","disjunction_marginal_conjunction","_","_","_","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","3 _ 2 _ 4 _ 1","3 _ 4 _ 2 _ 1","4 _ 3 _ 1 _ 2","disjunction_marginal_conjunction","4 _ 1 _ 2 _ 3","2 _ 3 _ 1 _ 4","2 _ 3 _ 1 _ 4","marginal_disjunction_conjunction",3,"539","Recall or imagine the frequencies of occurrence for each event within some timescale (e.g., twice per year).","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"18","5d53d8685a0bf40019bb0e8e","pair","1 _ 4 _ 3 _ 2","1 _ 2 _ 3 _ 4","1 _ 3 _ 2 _ 4","marginal_disjunction_conjunction","2 _ 3 _ 4 _ 1","4 _ 1 _ 3 _ 2","4 _ 1 _ 3 _ 2","disjunction_marginal_conjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","1 _ 4 _ 3 _ 2","2 _ 1 _ 4 _ 3","2 _ 1 _ 4 _ 3","marginal_conjunction_disjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","2 _ 3 _ 4 _ 1","1 _ 2 _ 4 _ 3","2 _ 1 _ 4 _ 3","marginal_conjunction_disjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-",3,"587","Recall or imagine the frequencies of occurrence for each event within some timescale (e.g., twice per year).,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results."
"19","5e518637f728911b666282e6","full","1 _ 4 _ 2 _ 3","1 _ 2 _ 3 _ 4","1 _ 3 _ 2 _ 4","disjunction_marginal_conjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","1 _ 2 _ 3 _ 4","2 _ 1 _ 4 _ 3","2 _ 3 _ 4 _ 1","disjunction_conjunction_marginal","_","_","_","-","3 _ 1 _ 2 _ 4","4 _ 2 _ 3 _ 1","4 _ 3 _ 2 _ 1","conjunction_disjunction_marginal","1 _ 4 _ 3 _ 2","1 _ 2 _ 4 _ 3","2 _ 1 _ 4 _ 3","marginal_disjunction_conjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-",2,"604","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"20","5f1204b624fdfb11ceaf88ae","full","1 _ 4 _ 2 _ 3","1 _ 2 _ 3 _ 4","1 _ 2 _ 3 _ 4","marginal_disjunction_conjunction","1 _ 4 _ 2 _ 3","1 _ 2 _ 3 _ 4","1 _ 2 _ 3 _ 4","conjunction_marginal_disjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","_","_","_","-","1 _ 4 _ 2 _ 3","1 _ 2 _ 4 _ 3","1 _ 4 _ 2 _ 3","marginal_disjunction_conjunction","3 _ 2 _ 4 _ 1","4 _ 1 _ 3 _ 2","3 _ 2 _ 4 _ 1","disjunction_conjunction_marginal"," _  _  _ "," _  _  _ "," _  _  _ ","-",4,"898","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results."
