"","Count","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","number","freq"
"1",1,"3 2 4 1","2 3 4 1",5,0.172413793103448
"2",2,"3 2 4 1","2.5 2.5 4 1",3,0.103448275862069
"3",3,"3 2 4 1","3 2 4 1",3,0.103448275862069
"4",4,"3 2 4 1","3.5 2 3.5 1",3,0.103448275862069
"5",5,"3 2 4 1","4 1 2 3",4,0.137931034482759
"6",6,"3 2 4 1","4 1 2.5 2.5",3,0.103448275862069
"7",7,"3 2 4 1","4 1 3 2",1,0.0344827586206897
"8",8,"3 2 4 1","4 1.5 1.5 3",1,0.0344827586206897
"9",9,"3 2 4 1","4 1.5 3 1.5",3,0.103448275862069
"10",10,"3 2 4 1","4 2 3 1",2,0.0689655172413793
"11",11,"3 2 4 1","4 2.5 2.5 1",1,0.0344827586206897
