"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","number","freq"
"1","2 3 4 1","2 3 4 1",2,0.0740740740740741
"2","2 3 4 1","2.5 1 4 2.5",2,0.0740740740740741
"3","2 3 4 1","2.5 2.5 4 1",3,0.111111111111111
"4","2 3 4 1","3 1 4 2",2,0.0740740740740741
"5","2 3 4 1","3 1.5 4 1.5",3,0.111111111111111
"6","2 3 4 1","3 2 4 1",2,0.0740740740740741
"7","2 3 4 1","3.5 1 3.5 2",3,0.111111111111111
"8","2 3 4 1","4 1 2 3",4,0.148148148148148
"9","2 3 4 1","4 1 2.5 2.5",3,0.111111111111111
"10","2 3 4 1","4 1 3 2",3,0.111111111111111
